time_epoch_com,secs,tps,lat,,
1641907948,0,5,6,0,
1641907949,1,69,41,1,
1641907950,2,97,75,1,
1641907951,3,132,75,1,
1641907952,4,154,110,1,
1641907953,5,160,114,1,
1641907954,6,173,125,1,
1641907955,7,90,190,1,
1641907956,8,138,206,1,
1641907957,9,148,158,1,
1641907958,10,136,229,1,
1641907959,11,113,252,1,
1641907960,12,150,236,1,
1641907961,13,144,220,1,
1641907962,14,151,236,1,
1641907963,15,136,214,1,
1641907964,16,144,213,1,
1641907965,17,141,273,1,
1641907966,18,146,235,1,
1641907967,19,145,220,1,
1641907968,20,131,227,1,
1641907969,21,129,252,1,
1641907970,22,127,247,1,
1641907971,23,129,257,1,
1641907972,24,167,205,1,
1641907973,25,88,281,1,
1641907974,26,57,504,1,
1641907975,27,18,542,1,
1641907976,28,59,780,1,
1641907977,29,31,390,1,
1641907978,30,18,285,1,
1641907979,31,3,268,1,
1641907980,32,4,2215,1,
1641907981,33,4,775,1,
1641907982,34,66,2838,1,
1641907983,35,80,424,1,
1641907984,36,115,284,1,
1641907985,37,33,535,1,
1641907986,38,87,507,1,
1641907987,39,51,451,1,
1641907988,40,17,877,1,
1641907999,51,56,6653,11,
1641908000,52,134,979,1,
1641908001,53,92,411,1,
1641908004,56,84,968,3,
1641908005,57,131,247,1,
1641908006,58,107,281,1,
1641908007,59,131,321,1,
1641908008,60,126,175,1,
1641908009,61,54,459,1,
1641908010,62,63,933,1,
1641908011,63,94,528,1,
1641908012,64,38,592,1,
1641908013,65,86,496,1,
1641908014,66,120,359,1,
1641908015,67,71,385,1,
1641908016,68,87,482,1,
1641908017,69,107,419,1,
1641908018,70,69,416,1,
1641908019,71,76,523,1,
1641908020,72,82,438,1,
1641908021,73,57,310,1,
1641908022,74,1,20651,1,
1641908023,75,158,490,1,
1641908024,76,107,306,1,
1641908025,77,82,383,1,
1641908026,78,120,280,1,
1641908027,79,43,673,1,
1641908028,80,100,329,1,
1641908029,81,3,422,1,
1641908030,82,42,900,1,
1641908031,83,63,1020,1,
1641908032,84,50,632,1,
1641908033,85,43,779,1,
1641908034,86,105,470,1,
1641908035,87,71,348,1,
1641908036,88,112,374,1,
1641908037,89,6,464,1,
1641908039,91,1,11171,2,
1641908041,93,1,9741,2,
1641908042,94,27,5568,1,
1641908043,95,92,110,1,
1641908044,96,43,307,1,
1641908045,97,25,104,1,
1641908046,98,56,165,1,
1641908047,99,67,543,1,
1641908048,100,44,421,1,
1641908049,101,66,227,1,
1641908050,102,68,920,1,
1641908051,103,69,605,1,
1641908052,104,60,738,1,
1641908053,105,49,957,1,
1641908054,106,54,857,1,
1641908055,107,45,750,1,
1641908056,108,41,1050,1,
1641908057,109,85,104,1,
1641908058,110,46,63,1,
1641908059,111,8,679,1,
1641908060,112,67,2419,1,
1641908061,113,59,663,1,
1641908062,114,64,509,1,
1641908063,115,1,426,1,
1641908065,117,24,3345,2,
1641908066,118,68,1642,1,
1641908067,119,69,521,1,
1641908068,120,64,438,1,
1641908069,121,36,566,1,
1641908070,122,18,1077,1,
1641908071,123,50,1137,1,
1641908072,124,39,512,1,
1641908073,125,38,1760,1,
1641908074,126,89,479,1,
1641908075,127,105,392,1,
1641908076,128,90,394,1,
1641908077,129,91,347,1,
1641908078,130,65,519,1,
1641908079,131,51,545,1,
1641908080,132,69,574,1,
1641908081,133,74,623,1,
1641908082,134,84,350,1,
1641908083,135,28,412,1,
1641908085,137,65,1778,2,
1641908086,138,24,1345,1,
1641908087,139,10,889,1,
1641908088,140,12,1074,1,
1641908089,141,7,1246,1,
1641908090,142,7,1752,1,
1641908091,143,7,2400,1,
1641908092,144,8,4252,1,
1641908093,145,2,1082,1,
1641908094,146,11,2923,1,
1641908095,147,18,3602,1,
1641908096,148,26,5002,1,
1641908097,149,14,4112,1,
1641908098,150,22,2384,1,
1641908099,151,24,1160,1,
1641908100,152,35,1310,1,
1641908101,153,14,1255,1,
1641908102,154,10,1944,1,
1641908103,155,1,3240,1,
1641908105,157,40,3327,2,
1641908106,158,8,3015,1,
1641908108,160,59,1907,2,
1641908109,161,19,745,1,
1641908110,162,67,996,1,
1641908111,163,109,394,1,
1641908112,164,58,444,1,
1641908113,165,8,504,1,
1641908114,166,79,654,1,
1641908115,167,61,741,1,
1641908116,168,2,233,1,
1641908118,170,51,1537,2,
1641908119,171,51,548,1,
1641908121,173,73,837,2,
1641908122,174,91,315,1,
1641908123,175,27,717,1,
1641908124,176,2,846,1,
1641908126,178,26,2539,2,
1641908127,179,42,1249,1,
1641908128,180,66,960,1,
1641908129,181,53,522,1,
1641908130,182,43,653,1,
1641908131,183,15,938,1,
1641908132,184,17,1823,1,
1641908133,185,26,1492,1,
1641908134,186,18,1764,1,
1641908135,187,31,2742,1,
1641908136,188,34,1252,1,
1641908137,189,26,1152,1,
1641908138,190,31,1055,1,
1641908139,191,38,1210,1,
1641908140,192,15,1482,1,
1641908141,193,29,1618,1,
1641908142,194,30,1081,1,
1641908143,195,2,1824,1,
1641908144,196,3,3005,1,
1641908145,197,20,2343,1,
1641908146,198,28,2123,1,
1641908147,199,20,2402,1,
1641908148,200,21,1356,1,
1641908149,201,35,1439,1,
1641908150,202,9,949,1,
1641908151,203,4,2690,1,
1641908152,204,15,2278,1,
1641908153,205,12,2022,1,
1641908154,206,23,2477,1,
1641908155,207,17,1782,1,
1641908156,208,28,2224,1,
1641908157,209,27,1760,1,
1641908158,210,20,1530,1,
1641908159,211,12,928,1,
1641908160,212,28,1637,1,
1641908161,213,21,1585,1,
1641908162,214,21,1397,1,
1641908163,215,19,1574,1,
1641908164,216,19,1970,1,
1641908165,217,6,2594,1,
1641908166,218,2,1939,1,
1641908168,220,5,3783,2,
1641908169,221,10,4340,1,
1641908170,222,9,4456,1,
1641908171,223,13,3252,1,
1641908172,224,29,2823,1,
1641908173,225,27,1759,1,
1641908174,226,36,2038,1,
1641908175,227,27,1964,1,
1641908176,228,25,1463,1,
1641908177,229,11,1175,1,
1641908178,230,17,2382,1,
1641908179,231,2,1080,1,
1641908180,232,2,2638,1,
1641908181,233,16,3329,1,
1641908182,234,22,2643,1,
1641908183,235,16,3485,1,
1641908184,236,12,2524,1,
1641908185,237,1,2442,1,
1641908187,239,22,5079,2,
1641908188,240,22,2298,1,
1641908189,241,14,2283,1,
1641908190,242,19,1982,1,
1641908191,243,23,1822,1,
1641908192,244,31,1560,1,
1641908193,245,19,1977,1,
1641908194,246,15,1735,1,
1641908195,247,11,1817,1,
1641908196,248,19,2129,1,
1641908197,249,15,1774,1,
1641908198,250,17,1890,1,
1641908199,251,29,2111,1,
1641908200,252,20,2184,1,
1641908201,253,13,1890,1,
1641908202,254,4,3226,1,
1641908203,255,16,2226,1,
1641908204,256,16,2721,1,
1641908205,257,11,2450,1,
1641908206,258,16,2309,1,
1641908207,259,19,2743,1,
1641908208,260,17,2165,1,
1641908209,261,13,2031,1,
1641908210,262,27,1498,1,
1641908211,263,28,1878,1,
1641908212,264,12,2301,1,
1641908213,265,13,1919,1,
1641908214,266,15,2339,1,
1641908215,267,6,1590,1,
1641908216,268,21,2349,1,
1641908217,269,17,1572,1,
1641908218,270,10,2326,1,
1641908219,271,17,2517,1,
1641908220,272,11,2706,1,
1641908221,273,18,2105,1,
1641908222,274,16,2854,1,
1641908223,275,2,1647,1,
1641908224,276,12,2974,1,
1641908225,277,23,3022,1,
1641908226,278,17,2073,1,
1641908227,279,14,1854,1,
1641908228,280,15,2334,1,
1641908229,281,13,2029,1,
1641908231,283,5,1486,2,
1641908232,284,19,3969,1,
1641908233,285,5,4207,1,
1641908234,286,20,3514,1,
1641908235,287,17,4064,1,
1641908236,288,9,2719,1,
1641908237,289,24,2658,1,
1641908238,290,22,2448,1,
1641908239,291,10,3577,1,
1641908240,292,10,1783,1,
1641908241,293,5,2506,1,
1641908242,294,8,2686,1,
1641908243,295,6,3688,1,
1641908244,296,3,2667,1,
1641908245,297,20,4715,1,
1641908246,298,8,4587,1,
1641908247,299,9,4762,1,
1641908248,300,7,3175,1,
1641908249,301,11,2318,1,
1641908250,302,4,2378,1,
1641908251,303,12,3304,1,
1641908252,304,8,4792,1,
1641908253,305,7,3012,1,
1641908254,306,16,2164,1,
